contribution_date,amount,contributor_name,sector_category,alignment,candidate_name,office
2025-12-19,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-12-10,5000.0,Pfizer,pharma,unknown,Kathleen C. Hochul,governor
2023-06-30,5000.0,Pfizer,pharma,unknown,Kathleen C. Hochul,governor
2025-03-24,5000.0,Cigna,health_insurer,neutral,Jamaal T. Bailey,state_senate
2025-06-24,5000.0,Riverview Medical Care Corp,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-12-30,5000.0,Sarepta Therapeutics,pharma,neutral,Kathleen C. Hochul,governor
2021-11-07,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2023-04-14,5000.0,Century Medical and Dental Center Inc.,hospital_health_system_provider,neutral,Nikki Lucas,assembly
2021-03-17,5000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Timothy M Kennedy,state_senate
2020-10-05,5000.0,Planned Parenthood PAC,other_healthcare_related,unknown,James Skoufis,state_senate
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2023-09-26,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2023-09-26,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-12-22,5000.0,CVS Health / Aetna,health_insurer,neutral,Kathleen C. Hochul,governor
2024-12-12,5000.0,Empire State Assn. of Assisted Living (ESAAL),industry_association,unknown,Kathleen C. Hochul,governor
2023-06-26,5000.0,New York Chiropractic Pac,industry_association,neutral,Kathleen C. Hochul,governor
2025-05-05,5000.0,New York Chiropractic Pac,industry_association,neutral,Kathleen C. Hochul,governor
2024-04-30,5000.0,New York Chiropractic Pac,industry_association,neutral,Kathleen C. Hochul,governor
2026-03-17,5000.0,New York Chiropractic Pac,industry_association,neutral,Kathleen C. Hochul,governor
2022-10-03,5000.0,New York Chiropractic Pac,industry_association,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
